,Cabin,Ticket,number,Survived,numerical_data,categorical_data,numerical_cabin,categorical_cabin
0,unavailable,A/5 21171,5,0,5.0,unavailable,unavailable,unavailable
1,C85,PC 17599,3,1,3.0,unavailable,85.0,C
2,unavailable,STON/O2. 3101282,6,1,6.0,unavailable,unavailable,unavailable
3,C123,113803,3,1,3.0,unavailable,123.0,C
4,unavailable,373450,A,0,3.5,A,unavailable,unavailable
5,unavailable,330877,2,0,2.0,unavailable,unavailable,unavailable
6,E46,17463,2,0,2.0,unavailable,46.0,E
7,unavailable,349909,5,0,5.0,unavailable,unavailable,unavailable
8,unavailable,347742,1,1,1.0,unavailable,unavailable,unavailable
9,unavailable,237736,A,1,3.5,A,unavailable,unavailable
10,G6,PP 9549,1,1,1.0,unavailable,6.0,G
11,C103,113783,1,1,1.0,unavailable,103.0,C
12,unavailable,A/5. 2151,3,0,3.0,unavailable,unavailable,unavailable
13,unavailable,347082,3,0,3.0,unavailable,unavailable,unavailable
14,unavailable,350406,5,0,5.0,unavailable,unavailable,unavailable
15,unavailable,248706,3,1,3.0,unavailable,unavailable,unavailable
16,unavailable,382652,3,0,3.0,unavailable,unavailable,unavailable
17,unavailable,244373,2,1,2.0,unavailable,unavailable,unavailable
18,unavailable,345763,5,0,5.0,unavailable,unavailable,unavailable
19,unavailable,2649,4,1,4.0,unavailable,unavailable,unavailable
20,unavailable,239865,1,0,1.0,unavailable,unavailable,unavailable
21,D56,248698,4,1,4.0,unavailable,56.0,D
22,unavailable,330923,A,1,3.5,A,unavailable,unavailable
23,A6,113788,4,1,4.0,unavailable,6.0,A
24,unavailable,349909,5,0,5.0,unavailable,unavailable,unavailable
25,unavailable,347077,3,1,3.0,unavailable,unavailable,unavailable
26,unavailable,2631,6,0,6.0,unavailable,unavailable,unavailable
27,C23 C25 C27,19950,4,0,4.0,unavailable,23.0,C
28,unavailable,330959,2,1,2.0,unavailable,unavailable,unavailable
29,unavailable,349216,6,0,6.0,unavailable,unavailable,unavailable
